================================================================================
WebSocket Connection Log
Connection ID: ativos_0dfe1755f9d2
Connection Type: ativos
User: ATIVOS Client 1
Created: 2026-03-05T20:41:16.845751
Log File: ATIVOS_Client_1_ativos_ativos_0dfe1755f9d2_20260305_204116.log
================================================================================

[2026-03-05T20:41:16.847414] [INIT] Iniciando ATIVOS Client #1
  Data: {"account_idx": 0, "user_name": "ATIVOS Client 1", "stable_id": "0dfe1755f9d2"}
[2026-03-05T20:41:18.646148] [CONNECT] Cliente conectado com sucesso
[2026-03-05T20:41:18.654124] [AUTH] Autenticação bem-sucedida
  Data: {"account_idx": 0, "data_keys": []}
[2026-03-05T20:41:18.676349] [CALLBACK:json_data] | keys: ['id']
[2026-03-05T20:41:18.676349] [CALLBACK:json_data] | event: successupdatePending
[2026-03-05T20:41:18.677212] [CALLBACK:json_data]
[2026-03-05T20:41:18.677212] [CALLBACK:json_data] | event: updateOpenedDeals
[2026-03-05T20:41:18.677212] [CALLBACK:json_data]
[2026-03-05T20:41:18.680777] [CALLBACK:json_data] | event: updateCharts
[2026-03-05T20:41:18.681314] [CALLBACK:json_data]
[2026-03-05T20:41:18.682817] [CALLBACK:json_data]
[2026-03-05T20:41:20.382579] [CALLBACK:stream_update] | symbols: ['AUDCAD_otc']
[2026-03-05T20:41:20.426853] [CALLBACK:stream_update] | symbols: ['EURUSD_otc']
[2026-03-05T20:41:20.675874] [CALLBACK:stream_update] | symbols: ['AUDCAD_otc']
[2026-03-05T20:41:20.739115] [CALLBACK:stream_update] | symbols: ['AUDNZD_otc']
[2026-03-05T20:41:20.741108] [CALLBACK:stream_update] | symbols: ['CADJPY_otc']
[2026-03-05T20:41:20.742967] [CALLBACK:stream_update] | symbols: ['EURUSD_otc']
[2026-03-05T20:41:21.198069] [CALLBACK:stream_update] | symbols: ['AUDCAD_otc']
[2026-03-05T20:41:21.203772] [CALLBACK:stream_update] | symbols: ['AUDNZD_otc']
[2026-03-05T20:41:21.204769] [CALLBACK:stream_update] | symbols: ['CADJPY_otc']
[2026-03-05T20:41:21.206764] [CALLBACK:stream_update] | symbols: ['EURUSD_otc']
[2026-03-05T20:41:21.208018] [CALLBACK:stream_update] | symbols: ['NZDUSD_otc']
[2026-03-05T20:41:21.209052] [CALLBACK:stream_update] | symbols: ['USDCAD_otc']
[2026-03-05T20:41:21.211004] [CALLBACK:stream_update] | symbols: ['USDCHF_otc']
[2026-03-05T20:41:21.675899] [CALLBACK:stream_update] | symbols: ['AUDCAD_otc']
[2026-03-05T20:41:21.721826] [CALLBACK:stream_update] | symbols: ['AUDNZD_otc']
[2026-03-05T20:41:21.722823] [CALLBACK:stream_update] | symbols: ['CADJPY_otc']
[2026-03-05T20:41:21.724819] [CALLBACK:stream_update] | symbols: ['EURUSD_otc']
[2026-03-05T20:41:21.726363] [CALLBACK:stream_update] | symbols: ['NZDUSD_otc']
[2026-03-05T20:41:21.728986] [CALLBACK:stream_update] | symbols: ['USDCAD_otc']
[2026-03-05T20:41:21.729978] [CALLBACK:stream_update] | symbols: ['USDCHF_otc']
[2026-03-05T20:41:21.731902] [CALLBACK:stream_update] | symbols: ['USDJPY_otc']
[2026-03-05T20:41:21.733988] [CALLBACK:stream_update] | symbols: ['EURRUB_otc']
[2026-03-05T20:41:22.178486] [CALLBACK:stream_update] | symbols: ['AUDCAD_otc']
[2026-03-05T20:41:22.262863] [CALLBACK:stream_update] | symbols: ['AUDNZD_otc']
[2026-03-05T20:41:22.264721] [CALLBACK:stream_update] | symbols: ['CADJPY_otc']
[2026-03-05T20:41:22.266252] [CALLBACK:stream_update] | symbols: ['EURUSD_otc']
[2026-03-05T20:41:22.267279] [CALLBACK:stream_update] | symbols: ['NZDUSD_otc']
[2026-03-05T20:41:22.268835] [CALLBACK:stream_update] | symbols: ['USDCAD_otc']
[2026-03-05T20:41:22.269912] [CALLBACK:stream_update] | symbols: ['USDCHF_otc']
[2026-03-05T20:41:22.271459] [CALLBACK:stream_update] | symbols: ['USDJPY_otc']
[2026-03-05T20:41:22.272478] [CALLBACK:stream_update] | symbols: ['EURRUB_otc']
[2026-03-05T20:41:22.704705] [CALLBACK:stream_update] | symbols: ['AUDCAD_otc']
[2026-03-05T20:41:22.754129] [CALLBACK:stream_update] | symbols: ['AUDNZD_otc']
[2026-03-05T20:41:22.755282] [CALLBACK:stream_update] | symbols: ['CADJPY_otc']
[2026-03-05T20:41:22.756837] [CALLBACK:stream_update] | symbols: ['EURUSD_otc']
[2026-03-05T20:41:22.757829] [CALLBACK:stream_update] | symbols: ['NZDUSD_otc']
[2026-03-05T20:41:22.759824] [CALLBACK:stream_update] | symbols: ['USDCAD_otc']
[2026-03-05T20:41:22.760821] [CALLBACK:stream_update] | symbols: ['USDCHF_otc']
[2026-03-05T20:41:22.762438] [CALLBACK:stream_update] | symbols: ['USDJPY_otc']
[2026-03-05T20:41:22.763416] [CALLBACK:stream_update] | symbols: ['EURRUB_otc']
