================================================================================
WebSocket Connection Log
Connection ID: keep_alive_869cb4a775e4
Connection Type: keep_alive
User: ATIVOS Client 1
Created: 2026-03-05T20:41:16.865135
Log File: ATIVOS_Client_1_keep_alive_keep_alive_869cb4a775e4_20260305_204116.log
================================================================================

[2026-03-05T20:41:16.868908] [INIT] Iniciando estabelecimento de conexão
  Data: {"ssid_preview": "42[\"auth\",{\"session\":\"9jq0qg4a", "is_demo": true, "user_name": "ATIVOS Client 1", "urls_available": 2}
[2026-03-05T20:41:17.870485] [CONNECTED] Conexão estabelecida em DEMO-EU
  Data: {"url": "wss://demo-api-eu.po.market/socket.io/?EIO=4&transport=websocket", "region": "DEMO-EU", "total_reconnects": 0}
[2026-03-05T20:41:18.127659] [AUTH] Autenticação bem-sucedida
  Data: {"ssid_preview": "42[\"auth\",{\"session\":\"9jq0qg4a", "user_name": "ATIVOS Client 1", "is_demo": true}
[2026-03-05T20:41:18.647144] [PING] Ping enviado
[2026-03-05T20:41:18.648141] [RECV] Mensagem recebida (50 bytes): 451-["updateAssets",{"_placeholder":true,"num":0}]
[2026-03-05T20:41:18.651134] [RECV] Mensagem recebida (44285 bytes): [[5,"#AAPL","Apple","stock",2,50,60,30,3,0,170,0,[],1772814900,false,[{"time":60},{"time":120},{"time":180},{"time":300},{"time":600},{"time":900},{"time":1800},{"time":2700},{"time":3600},{"time":720...
[2026-03-05T20:41:18.653128] [RECV] Mensagem recebida (49 bytes): 451-["successauth",{"_placeholder":true,"num":0}]
[2026-03-05T20:41:18.675351] [RECV] Mensagem recebida (29 bytes): {"id":"6T8CrBD69CiOIBA2FoyC"}
[2026-03-05T20:41:18.676349] [RECV] Mensagem recebida (58 bytes): 451-["successupdatePending",{"_placeholder":true,"num":0}]
[2026-03-05T20:41:18.676349] [RECV] Mensagem recebida (2 bytes): []
[2026-03-05T20:41:18.677212] [RECV] Mensagem recebida (55 bytes): 451-["updateOpenedDeals",{"_placeholder":true,"num":0}]
[2026-03-05T20:41:18.677212] [RECV] Mensagem recebida (2 bytes): []
[2026-03-05T20:41:18.677212] [RECV] Mensagem recebida (58 bytes): 451-["successupdateBalance",{"_placeholder":true,"num":0}]
[2026-03-05T20:41:18.678208] [RECV] Mensagem recebida (28 bytes): {"isDemo":1,"balance":50000}
[2026-03-05T20:41:18.680207] [RECV] Mensagem recebida (50 bytes): 451-["updateCharts",{"_placeholder":true,"num":0}]
[2026-03-05T20:41:18.680777] [RECV] Mensagem recebida (484 bytes): [{"chart_id":"chart-1","settings":"{\"chartId\":\"chart-1\",\"chartType\":1,\"chartPeriod\":4,\"candlesTimer\":false,\"symbol\":\"EURUSD_otc\",\"demoDealAmount\":10,\"liveDealAmount\":1,\"enabledTrade...
[2026-03-05T20:41:18.681314] [RECV] Mensagem recebida (55 bytes): 451-["updateClosedDeals",{"_placeholder":true,"num":0}]
[2026-03-05T20:41:18.681858] [RECV] Mensagem recebida (2 bytes): []
[2026-03-05T20:41:19.923409] [RECV] Mensagem recebida (58 bytes): 451-["updateHistoryNewFast",{"_placeholder":true,"num":0}]
[2026-03-05T20:41:20.136201] [RECV] Mensagem recebida (31707 bytes): {"asset":"EURUSD_otc","period":1,"history":[[1772760681.619,1.17374],[1772760682.121,1.17374],[1772760682.621,1.17376],[1772760683.121,1.17377],[1772760683.637,1.17378],[1772760684.088,1.17378],[17727...
[2026-03-05T20:41:20.187768] [RECV] Mensagem recebida (58 bytes): 451-["updateHistoryNewFast",{"_placeholder":true,"num":0}]
[2026-03-05T20:41:20.336593] [RECV] Mensagem recebida (40671 bytes): {"asset":"AUDCAD_otc","period":1,"history":[[1772760510.566,0.91678],[1772760511.068,0.91675],[1772760511.57,0.91671],[1772760512.072,0.91679],[1772760512.571,0.91679],[1772760513.034,0.91679],[177276...
[2026-03-05T20:41:20.382579] [RECV] Mensagem recebida (50 bytes): 451-["updateStream",{"_placeholder":true,"num":0}]
[2026-03-05T20:41:20.382579] [RECV] Mensagem recebida (39 bytes): [["AUDCAD_otc",1772761280.054,0.91372]]
[2026-03-05T20:41:20.426853] [RECV] Mensagem recebida (50 bytes): 451-["updateStream",{"_placeholder":true,"num":0}]
[2026-03-05T20:41:20.426853] [RECV] Mensagem recebida (39 bytes): [["EURUSD_otc",1772761280.055,1.17383]]
[2026-03-05T20:41:20.428481] [RECV] Mensagem recebida (58 bytes): 451-["updateHistoryNewFast",{"_placeholder":true,"num":0}]
[2026-03-05T20:41:20.514182] [RECV] Mensagem recebida (32046 bytes): {"asset":"AUDNZD_otc","period":1,"history":[[1772760674.614,1.10177],[1772760675.086,1.10177],[1772760675.615,1.10183],[1772760676.114,1.1017],[1772760676.615,1.10177],[1772760677.115,1.10181],[177276...
[2026-03-05T20:41:20.553080] [RECV] Mensagem recebida (58 bytes): 451-["updateHistoryNewFast",{"_placeholder":true,"num":0}]
[2026-03-05T20:41:20.554079] [RECV] Mensagem recebida (32077 bytes): {"asset":"CADJPY_otc","period":1,"history":[[1772760674.113,113.159],[1772760674.614,113.166],[1772760675.086,113.166],[1772760675.615,113.173],[1772760676.114,113.179],[1772760676.615,113.177],[17727...
[2026-03-05T20:41:20.669252] [RECV] Mensagem recebida (50 bytes): 451-["updateStream",{"_placeholder":true,"num":0}]
[2026-03-05T20:41:20.675874] [RECV] Mensagem recebida (39 bytes): [["AUDCAD_otc",1772761280.556,0.91368]]
[2026-03-05T20:41:20.681652] [RECV] Mensagem recebida (50 bytes): 451-["updateStream",{"_placeholder":true,"num":0}]
