id,symbol,name,type,is_active,payout,min_order_amount,max_order_amount,min_duration,max_duration,available_timeframes,created_at,updated_at
1,EURUSD,EURUSD,currency,1,50.0,1.0,50000.0,5,43200,"[60, 120, 180, 300, 600, 900, 1800, 2700, 3600, 7200, 10800, 14400]",2026-02-26 16:39:12.836467,2026-03-01 01:48:56.555012
2,XAUUSD,XAUUSD,commodity,1,50.0,1.0,50000.0,5,43200,"[60, 120, 180, 300, 600, 900, 1800, 2700, 3600, 7200, 10800, 14400]",2026-02-26 16:39:12.837464,2026-03-01 01:48:56.555896
5,#AAPL,#AAPL,stock,1,50.0,1.0,50000.0,5,43200,"[60, 120, 180, 300, 600, 900, 1800, 2700, 3600, 7200, 10800, 14400]",2026-02-26 16:39:12.836467,2026-03-01 01:48:56.554018
8,#BA,#BA,stock,1,50.0,1.0,50000.0,5,43200,"[60, 120, 180, 300, 600, 900, 1800, 2700, 3600, 7200, 10800, 14400]",2026-02-26 16:39:12.836467,2026-03-01 01:48:56.554018
20,#JPM,#JPM,stock,1,50.0,1.0,50000.0,5,43200,"[60, 120, 180, 300, 600, 900, 1800, 2700, 3600, 7200, 10800, 14400]",2026-02-26 16:39:12.836467,2026-03-01 01:48:56.554018
23,#MCD,#MCD,stock,1,50.0,1.0,50000.0,5,43200,"[60, 120, 180, 300, 600, 900, 1800, 2700, 3600, 7200, 10800, 14400]",2026-02-26 16:39:12.836467,2026-03-01 01:48:56.554018
24,#MSFT,#MSFT,stock,1,50.0,1.0,50000.0,5,43200,"[60, 120, 180, 300, 600, 900, 1800, 2700, 3600, 7200, 10800, 14400]",2026-02-26 16:39:12.836467,2026-03-01 01:48:56.554018
36,AUDCAD,AUDCAD,currency,1,50.0,1.0,50000.0,5,43200,"[60, 120, 180, 300, 600, 900, 1800, 2700, 3600, 7200, 10800, 14400]",2026-02-26 16:39:12.836467,2026-03-01 01:48:56.554018
37,AUDCHF,AUDCHF,currency,1,50.0,1.0,50000.0,5,43200,"[60, 120, 180, 300, 600, 900, 1800, 2700, 3600, 7200, 10800, 14400]",2026-02-26 16:39:12.836467,2026-03-01 01:48:56.554018
38,AUDJPY,AUDJPY,currency,1,50.0,1.0,50000.0,5,43200,"[60, 120, 180, 300, 600, 900, 1800, 2700, 3600, 7200, 10800, 14400]",2026-02-26 16:39:12.836467,2026-03-01 01:48:56.554018
